config_id,performance,budget,budget_used,total_wallclock_time,total_optimization_time,activation,batch_size,learning_rate,learning_rate_init,n_layer,n_neurons,solver
3,0.05508511296812135,100,1000,358.7331418991089,0.0015189647674560547,logistic,30,constant,0.0001,1,1024,adam
3,0.05508511296812135,100,2000,704.0697720050812,0.02450704574584961,logistic,30,constant,0.0001,1,1024,adam
3,0.05508511296812135,100,3000,1033.6736238002777,0.02901911735534668,logistic,30,constant,0.0001,1,1024,adam
3,0.05508511296812135,100,4000,1437.3339347839355,0.03760504722595215,logistic,30,constant,0.0001,1,1024,adam
3,0.05508511296812135,100,5000,1526.0074529647827,0.04636120796203613,logistic,30,constant,0.0001,1,1024,adam
3,0.05508511296812135,100,6000,1628.795156955719,0.05406641960144043,logistic,30,constant,0.0001,1,1024,adam
67,0.02893686165273901,100,7000,1719.8639659881592,0.07527446746826172,relu,30,constant,0.0001,1,1024,adam
71,0.013354998452491329,100,8000,2463.8537600040436,0.0835425853729248,relu,30,constant,0.0001,5,1024,adam
71,0.013354998452491329,100,9000,2834.903028011322,0.125138521194458,relu,30,constant,0.0001,5,1024,adam
71,0.013354998452491329,100,10000,3205.357225894928,0.14641737937927246,relu,30,constant,0.0001,5,1024,adam
