config_id,budget,performance,x0,x1
0,100,308.12909601160663,-5.0,0.0
1,100,17.508299515778166,-5.0,15.0
2,100,17.843733936693496,-5.0,14.9246231155779
3,100,18.190531707019197,-5.0,14.8492462311558
4,100,18.54869282675525,-5.0,14.7738693467337
5,100,18.918217295901677,-5.0,14.6984924623116
6,100,19.29910511445898,-5.0,14.6231155778894
7,100,19.691356282426153,-5.0,14.5477386934673
8,100,20.09497079980369,-5.0,14.4723618090452
9,100,20.509948666591594,-5.0,14.3969849246231
10,100,20.93628988278986,-5.0,14.321608040201
11,100,21.373994448398488,-5.0,14.2462311557789
12,100,21.823062363417485,-5.0,14.1708542713568
13,100,22.283493627846852,-5.0,14.0954773869347
14,100,22.755288241686582,-5.0,14.0201005025126
15,100,23.238446204936675,-5.0,13.9447236180905
16,100,23.732967517597796,-5.0,13.8693467336683
17,100,24.238852179668637,-5.0,13.7939698492462
18,100,24.756100191149834,-5.0,13.7185929648241
19,100,25.284711552041404,-5.0,13.643216080402
20,100,25.82468626234334,-5.0,13.5678391959799
21,100,26.376024322055642,-5.0,13.4924623115578
22,100,26.93872573117831,-5.0,13.4170854271357
23,100,27.51279048971133,-5.0,13.3417085427136
24,100,28.09821859765473,-5.0,13.2663316582915
25,100,28.695010055009288,-5.0,13.1909547738693
26,100,29.303164861773432,-5.0,13.1155778894472
27,100,29.92268301794794,-5.0,13.0402010050251
28,100,30.553564523532813,-5.0,12.964824120603
29,100,31.195809378528054,-5.0,12.8894472361809
30,100,31.849417582933643,-5.0,12.8140703517588
31,100,32.514389136749614,-5.0,12.7386934673367
32,100,33.19072403997595,-5.0,12.6633165829146
33,100,33.878422292612655,-5.0,12.5879396984925
34,100,34.577483894659714,-5.0,12.5125628140704
35,100,35.28790884611809,-5.0,12.4371859296482
36,100,36.0096971469859,-5.0,12.3618090452261
37,100,36.74284879726406,-5.0,12.286432160804
38,100,37.48736379695261,-5.0,12.2110552763819
39,100,38.243242146051514,-5.0,12.1356783919598
40,100,39.01048384456078,-5.0,12.0603015075377
41,100,39.78908889248042,-5.0,11.9849246231156
42,100,40.57905728981043,-5.0,11.9095477386935
43,100,41.38038903655078,-5.0,11.8341708542714
44,100,42.19308413270259,-5.0,11.7587939698492
45,100,43.0171425782637,-5.0,11.6834170854271
46,100,43.85256437323518,-5.0,11.608040201005
47,100,44.69934951761703,-5.0,11.5326633165829
48,100,45.557498011409244,-5.0,11.4572864321608
49,100,46.42700985461182,-5.0,11.3819095477387
50,100,47.30788504722474,-5.0,11.3065326633166
51,100,48.200123589248044,-5.0,11.2311557788945
52,100,49.10372548068172,-5.0,11.1557788944724
53,100,50.018690721526966,-5.0,11.0804020100502
54,100,50.94501931178139,-5.0,11.0050251256281
55,100,51.88271125144617,-5.0,10.929648241206
56,100,52.83176654052129,-5.0,10.8542713567839
57,100,53.79218517900681,-5.0,10.7788944723618
